iter	Passed	Remaining
0	10	10705
1	19	9868
2	35	11670
3	56	13996
4	72	14366
5	90	15036
6	112	16004
7	127	15840
8	150	16524
9	161	15980
10	175	15736
11	189	15598
12	203	15452
13	216	15255
14	233	15356
15	245	15107
16	258	14941
17	269	14695
18	286	14811
19	300	14722
20	313	14620
21	322	14338
22	333	14175
23	346	14101
24	356	13906
25	371	13904
26	390	14075
27	409	14202
28	428	14353
29	441	14290
30	457	14288
31	469	14206
32	484	14209
33	505	14348
34	518	14302
35	530	14212
36	545	14190
37	556	14093
38	565	13944
39	578	13874
40	588	13775
41	599	13673
42	611	13605
43	621	13506
44	631	13399
45	642	13323
46	654	13269
47	664	13173
48	674	13086
49	684	13012
50	696	12952
51	709	12932
52	727	13000
53	751	13162
54	831	14282
55	870	14676
56	894	14799
57	913	14837
58	938	14961
59	959	15030
60	982	15125
61	1008	15259
62	1029	15318
63	1055	15433
64	1072	15434
65	1090	15428
66	1102	15358
67	1119	15340
68	1133	15291
69	1150	15290
70	1162	15215
71	1176	15169
72	1189	15106
73	1200	15019
74	1214	14974
75	1232	14987
76	1244	14916
77	1261	14911
78	1282	14956
79	1297	14921
80	1309	14855
81	1319	14774
82	1345	14866
83	1375	15003
84	1399	15066
85	1429	15197
86	1454	15260
87	1474	15283
88	1505	15409
89	1539	15570
90	1572	15707
91	1622	16009
92	1674	16332
93	1723	16612
94	1810	17242
95	1841	17340
96	1905	17738
97	1955	17999
98	2012	18319
99	2063	18569
100	2112	18801
101	2137	18821
102	2169	18890
103	2196	18924
104	2223	18955
105	2251	18992
106	2267	18927
107	2293	18944
108	2311	18897
109	2331	18867
110	2348	18812
111	2372	18809
112	2399	18837
113	2421	18819
114	2445	18816
115	2481	18907
116	2498	18854
117	2523	18859
118	2543	18832
119	2561	18786
120	2577	18723
121	2593	18664
122	2617	18663
123	2637	18634
124	2653	18572
125	2664	18481
126	2676	18399
127	2693	18351
128	2706	18271
129	2718	18190
130	2727	18095
131	2743	18042
132	2759	17990
133	2784	17995
134	2808	17998
135	2840	18042
136	2863	18039
137	2887	18036
138	2905	17997
139	3022	18567
140	3046	18558
